('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944888 function calls (920509 primitive calls) in 4.292 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      202    0.002    0.000    0.335    0.002 sre_compile.py:783(compile)
      197    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      325    0.002    0.000    0.005    0.000 typing.py:146(_type_check)
     6276    0.002    0.000    0.016    0.000 {built-in method builtins.next}
     4530    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
      961    0.002    0.000    0.003    0.000 sre_parse.py:433(_uniq)
      834    0.002    0.000    0.003    0.000 sre_parse.py:356(_escape)
       17    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
      329    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
     1399    0.002    0.000    0.003    0.000 sre_parse.py:169(__setitem__)
    217/3    0.002    0.000    0.602    0.201 <frozen importlib._bootstrap>:1022(_find_and_load)
      338    0.002    0.000    1.545    0.005 ssl.py:1150(read)
     1222    0.002    0.000    0.003    0.000 typing.py:986(__setattr__)
     2585    0.002    0.000    0.006    0.000 css_parser.py:317(match)
      338    0.002    0.000    1.547    0.005 ssl.py:1292(recv_into)
    193/3    0.002    0.000    0.602    0.201 <frozen importlib._bootstrap>:664(_load_unlocked)
     3765    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      261    0.002    0.000    0.576    0.002 response.py:1368(read_chunked)
      193    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       17    0.002    0.000    0.004    0.000 __init__.py:328(namedtuple)
      259    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
       79    0.002    0.000    0.013    0.000 css_parser.py:472(parse_attribute_selector)
      202    0.002    0.000    0.217    0.001 sre_parse.py:944(parse)
     1035    0.001    0.000    0.004    0.000 sre_compile.py:447(_simple)
    216/3    0.001    0.000    0.602    0.201 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      961    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     2368    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      260    0.001    0.000    0.038    0.000 response.py:619(_decode)
