('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855346 function calls (834383 primitive calls) in 5.671 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      112    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
       10    0.001    0.000    0.004    0.000 enum.py:553(<listcomp>)
      170    0.001    0.000    0.007    0.000 _markupbase.py:165(parse_comment)
    112/4    0.001    0.000    0.300    0.075 <frozen importlib._bootstrap>:664(_load_unlocked)
    56/16    0.001    0.000    0.016    0.001 css_parser.py:925(parse_selectors)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      164    0.001    0.000    0.099    0.001 sre_parse.py:944(parse)
      939    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
     3957    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     7366    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        8    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
        1    0.001    0.001    4.279    4.279 financial_enhanced.py:8(get_html)
       17    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      699    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
      107    0.001    0.000    0.005    0.000 typing.py:1016(__init__)
     2532    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      108    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
     2585    0.001    0.000    0.002    0.000 css_parser.py:317(match)
     1219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
    117/3    0.001    0.000    0.302    0.101 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      102    0.001    0.000    0.002    0.000 typing_extensions.py:3178(_collect_type_vars)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      618    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
      888    0.001    0.000    0.001    0.000 typing.py:935(_is_dunder)
       15    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      314    0.001    0.000    0.001    0.000 enum.py:44(_is_private)
      699    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      174    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       97    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
      164    0.001    0.000    0.001    0.000 enum.py:986(__and__)
      531    0.001    0.000    0.009    0.000 enum.py:359(__call__)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
  190/156    0.001    0.000    0.001    0.000 sre_compile.py:485(_get_literal_prefix)
        2    0.001    0.000    0.001    0.000 socket.py:220(__init__)
       87    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
      291    0.001    0.000    0.001    0.000 {method 'rindex' of 'str' objects}
      415    0.001    0.000    0.001    0.000 sre_parse.py:259(getwhile)
       88    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     3110    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
       10    0.001    0.000    0.001    0.000 request.py:438(add_handler)
      153    0.001    0.000    0.002    0.000 filter.py:618(_attribute_match)
      164    0.000    0.000    0.057    0.000 sre_compile.py:622(_code)
        2    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      170    0.000    0.000    0.006    0.000 _htmlparser.py:269(handle_comment)
     3763    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       87    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      521    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      265    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
     1630    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       15    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      164    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
     87/4    0.000    0.000    0.300    0.075 <frozen importlib._bootstrap_external>:877(exec_module)
      108    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      102    0.000    0.000    0.001    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.001    0.001 socket.py:768(close)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      314    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      454    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
  112/109    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
     88/1    0.000    0.000    5.671    5.671 {built-in method builtins.exec}
      164    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
       44    0.000    0.000    0.005    0.000 typing.py:483(Union)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
       29    0.000    0.000    1.087    0.037 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
      314    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
        1    0.000    0.000    0.005    0.005 typing_extensions.py:1(<module>)
       11    0.000    0.000    0.544    0.049 __init__.py:1(<module>)
      261    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       58    0.000    0.000    0.003    0.000 parser.py:122(set_cdata_mode)
       64    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      263    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      140    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
        7    0.000    0.000    0.001    0.000 message.py:462(get)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      653    0.000    0.000    0.000    0.000 filter.py:259(_base_match)
      588    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  700/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        7    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
       10    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      261    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
      615    0.000    0.000    0.000    0.000 sre_parse.py:82(groups)
      201    0.000    0.000    0.000    0.000 typing.py:1902(get_origin)
        1    0.000    0.000    0.001    0.001 feedparser.py:471(_parse_headers)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      409    0.000    0.000    0.001    0.000 socket.py:93(<lambda>)
       68    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
      408    0.000    0.000    0.001    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    1.070    1.070 __init__.py:211(__init__)
      685    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      184    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:391(cached)
      407    0.000    0.000    0.001    0.000 socket.py:83(<lambda>)
       44    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
        6    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
       10    0.000    0.000    0.008    0.001 enum.py:483(_create_)
       44    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
      406    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      207    0.000    0.000    0.000    0.000 types.py:176(__get__)
       50    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
       35    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
        4    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      164    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
       43    0.000    0.000    0.003    0.000 typing.py:1138(__getitem__)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      282    0.000    0.000    0.163    0.001 re.py:249(compile)
       97    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      165    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
    153/4    0.000    0.000    0.299    0.075 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      495    0.000    0.000    0.000    0.000 filter.py:292(matches_string)
      240    0.000    0.000    0.000    0.000 element.py:2355(get)
      348    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1111    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 datetime.py:461(__new__)
      260    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       34    0.000    0.000    0.000    0.000 feedparser.py:78(readline)
      328    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
