('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         944592 function calls (920275 primitive calls) in 8.976 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    250/3    0.001    0.000    0.549    0.183 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      197    0.001    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       79    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
      329    0.001    0.000    0.001    0.000 enum.py:33(_is_sunder)
      251    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
    95/42    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
      268    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
      261    0.000    0.000    0.001    0.000 filter.py:629(_match_attribute_value_helper)
      608    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      202    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
        1    0.000    0.000    0.006    0.006 typing_extensions.py:1(<module>)
      303    0.000    0.000    0.001    0.000 types.py:176(__get__)
       73    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    8.426    8.426 financial.py:49(main)
      342    0.000    0.000    0.002    0.000 typing.py:137(_type_convert)
      291    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
     1083    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      165    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      343    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
       10    0.000    0.000    0.010    0.001 enum.py:483(_create_)
      409    0.000    0.000    0.001    0.000 socket.py:93(<lambda>)
      407    0.000    0.000    0.001    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.016    0.016 socket.py:1(<module>)
     1083    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      408    0.000    0.000    0.001    0.000 socket.py:88(<lambda>)
      824    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      217    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      343    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      495    0.000    0.000    0.001    0.000 filter.py:292(matches_string)
       56    0.000    0.000    0.004    0.000 typing.py:1138(__getitem__)
       94    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
       65    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
       12    0.000    0.000    0.001    0.000 enum.py:1026(_decompose)
       73    0.000    0.000    0.001    0.000 sre_parse.py:268(getuntil)
      100    0.000    0.000    0.002    0.000 enum.py:980(__or__)
      321    0.000    0.000    0.279    0.001 re.py:249(compile)
      404    0.000    0.000    0.000    0.000 sre_compile.py:619(isstring)
      203    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      344    0.000    0.000    0.000    0.000 socket.py:730(readable)
        2    0.000    0.000    0.001    0.000 cookiejar.py:467(parse_ns_headers)
     1171    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 constant.py:1(<module>)
      165    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
    78/40    0.000    0.000    0.291    0.007 <frozen importlib._bootstrap>:1053(_handle_fromlist)
       12    0.000    0.000    0.001    0.000 datetime.py:461(__new__)
      233    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        3    0.000    0.000    0.027    0.009 utils.py:1(<module>)
       58    0.000    0.000    0.003    0.000 parser.py:122(set_cdata_mode)
      437    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       63    0.000    0.000    0.000    0.000 typing.py:206(_collect_type_vars)
      264    0.000    0.000    0.533    0.002 response.py:1231(stream)
     1676    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      264    0.000    0.000    0.000    0.000 response.py:187(has_unconsumed_tail)
      150    0.000    0.000    0.002    0.000 typing.py:947(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
      276    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
