('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         855433 function calls (834462 primitive calls) in 4.877 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      171    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      170    0.000    0.000    0.005    0.000 _htmlparser.py:269(handle_comment)
      170    0.001    0.000    0.006    0.000 _markupbase.py:165(parse_comment)
      165    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      164    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      164    0.001    0.000    0.001    0.000 enum.py:986(__and__)
      164    0.001    0.000    0.010    0.000 sre_compile.py:560(_compile_info)
      164    0.000    0.000    0.051    0.000 sre_compile.py:622(_code)
      164    0.001    0.000    0.142    0.001 sre_compile.py:783(compile)
      164    0.000    0.000    0.001    0.000 sre_parse.py:225(__init__)
      164    0.000    0.000    0.000    0.000 sre_parse.py:928(fix_flags)
      164    0.001    0.000    0.089    0.001 sre_parse.py:944(parse)
      158    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
      153    0.000    0.000    0.001    0.000 filter.py:618(_attribute_match)
    153/4    0.000    0.000    0.291    0.073 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      145    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      143    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
  142/137    0.000    0.000    0.003    0.000 css_parser.py:395(freeze)
      140    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
      140    0.000    0.000    0.009    0.000 sre_parse.py:97(closegroup)
      140    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      138    0.000    0.000    0.001    0.000 typing.py:515(<genexpr>)
      132    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
      130    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      128    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
      128    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
      128    0.000    0.000    0.000    0.000 enum.py:559(<lambda>)
      119    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
      118    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
  118/100    0.000    0.000    0.000    0.000 typing.py:1037(__hash__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
      117    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
    117/3    0.001    0.000    0.294    0.098 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    117/3    0.001    0.000    0.294    0.098 <frozen importlib._bootstrap>:1022(_find_and_load)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      116    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      116    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      116    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(has_location)
      112    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
  112/109    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
    112/4    0.001    0.000    0.293    0.073 <frozen importlib._bootstrap>:664(_load_unlocked)
      111    0.000    0.000    0.001    0.000 typing.py:947(__init__)
      108    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      108    0.001    0.000    0.001    0.000 sre_compile.py:437(<listcomp>)
      108    0.000    0.000    0.001    0.000 sre_compile.py:435(_mk_bitmap)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
      107    0.001    0.000    0.004    0.000 typing.py:1016(__init__)
      107    0.002    0.000    0.004    0.000 sre_compile.py:516(_get_charset_prefix)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      102    0.000    0.000    0.000    0.000 typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
      102    0.000    0.000    0.002    0.000 typing_extensions.py:3178(_collect_type_vars)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      101    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:826(find_spec)
      101    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
      101    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       98    0.000    0.000    0.000    0.000 typing.py:705(__eq__)
       98    0.000    0.000    0.000    0.000 typing.py:1143(<genexpr>)
       97    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       97    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       97    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       92    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
     88/1    0.000    0.000    4.877    4.877 {built-in method builtins.exec}
       88    0.007    0.000    2.268    0.026 {method 'read' of '_io.BufferedReader' objects}
       88    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       88    0.000    0.000    0.001    0.000 enum.py:980(__or__)
       87    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
       87    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
       87    0.002    0.000    0.002    0.000 {built-in method io.open_code}
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       87    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
     87/4    0.000    0.000    0.292    0.073 <frozen importlib._bootstrap_external>:877(exec_module)
       87    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
       87    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1065(get_filename)
       87    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
       87    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       85    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       80    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(<genexpr>)
       79    0.000    0.000    0.001    0.000 css_types.py:267(__init__)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
       77    0.000    0.000    0.005    0.000 _htmlparser.py:127(handle_startendtag)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       69    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       68    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
    66/44    0.000    0.000    0.004    0.000 typing.py:401(__getitem__)
       64    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       62    0.000    0.000    0.000    0.000 __init__.py:25(__new__)
       61    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       61    0.000    0.000    0.000    0.000 dammit.py:229(<listcomp>)
       60    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
       58    0.000    0.000    0.003    0.000 parser.py:122(set_cdata_mode)
       58    0.000    0.000    0.000    0.000 element.py:2508(__eq__)
       56    0.000    0.000    0.003    0.000 css_parser.py:1106(<listcomp>)
    56/16    0.001    0.000    0.016    0.001 css_parser.py:925(parse_selectors)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       53    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       53    0.000    0.000    0.000    0.000 re.py:269(escape)
       53    0.000    0.000    0.000    0.000 enum.py:245(<genexpr>)
       50    0.000    0.000    0.000    0.000 typing_extensions.py:3216(<listcomp>)
       50    0.000    0.000    0.000    0.000 enum.py:446(<genexpr>)
       50    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       49    0.000    0.000    0.002    0.000 typing.py:1147(copy_with)
       49    0.000    0.000    0.000    0.000 sre_compile.py:456(_generate_overlap_table)
       46    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       45    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       45    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       45    0.000    0.000    0.000    0.000 typing.py:253(_deduplicate)
       45    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
       44    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       44    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
       44    0.000    0.000    0.000    0.000 typing_extensions.py:760(__hash__)
    44/32    0.000    0.000    0.012    0.000 css_parser.py:579(parse_pseudo_class)
       44    0.000    0.000    0.000    0.000 typing.py:267(_remove_dups_flatten)
       44    0.000    0.000    0.004    0.000 typing.py:483(Union)
       44    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       44    0.000    0.000    0.000    0.000 enum.py:590(_find_data_type)
